=== QuantDev Winning Math Report ===
Generated: 2025-12-04T12:57:18-06:00
BaseDir:  data
OOS Cut:  2024-01-01 (YMD=20240101)


==================================================
SYMBOL: BTCUSDT
==================================================

-- BTCUSDT | Horizon: 0.500s (500 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
OFI_DEMA_5s       OOS  22537460  0.0901  0.078   0.594    15.11    0.991     0.991        52.21   7841
OFI_EMA_15s       IS   48439754  0.0154  0.018   0.515    6.37     0.990     0.989        138.41  22444
OFI_EMA_15s       OOS  22537460  0.0628  0.057   0.556    19.18    0.996     0.996        176.69  12101
OFI_RSI_15s       IS   48439754  0.0105  0.013   0.515    3.30     0.994     0.990        138.41  22444
OFI_RSI_15s       OOS  22537460  0.0816  0.092   0.556    17.13    0.996     0.992        176.69  12101
OFI_Raw           IS   48439754  0.0272  0.017   0.534    0.39     0.109     0.093        3.11    1103
OFI_Raw           OOS  22537460  0.0442  0.034   0.600    0.40     0.065     0.060        3.94    1967
OFI_TEMA_15s      IS   48439754  0.0281  0.033   0.527    7.46     0.984     0.983        71.34   15912
OFI_TEMA_15s      OOS  22537460  0.0789  0.070   0.579    17.11    0.994     0.993        89.21   8509
Sniper_Composite  IS   48439754  0.0092  0.007   0.510    6.76     0.996     0.996        320.43  29050
Sniper_Composite  OOS  22537460  0.0522  0.043   0.539    30.13    0.998     0.998        420.90  15223
TCI_DEMA_15s      IS   48439754  0.0178  0.027   0.514    2.09     0.990     0.981        52.41   19093
TCI_DEMA_15s      OOS  22537460  0.0459  0.054   0.534    3.19     0.995     0.987        62.85   21454
TCI_EMA_15s       IS   48439754  0.0108  0.017   0.510    1.94     0.995     0.990        78.93   20009
TCI_EMA_15s       OOS  22537460  0.0298  0.036   0.525    3.22     0.998     0.995        98.00   28066
TCI_Raw           IS   48439754  0.0488  0.049   0.534    0.45     0.357     0.000        3.11    1103
TCI_Raw           OOS  22537460  0.1696  0.172   0.600    0.98     0.492     0.000        3.94    1967
Vel_Inst          IS   48439754  0.0362  0.025   0.534    0.34     0.381     0.286        3.11    1103
Vel_Inst          OOS  22537460  0.0839  0.062   0.600    0.46     0.290     0.239        3.94    1967

==================================================
SYMBOL: ETHUSDT
==================================================

-- ETHUSDT | Horizon: 0.500s (500 ms) --
FEATURE           SET  COUNT     IC      Sharpe  HitRate  B/E_Bps  AutoCorr  AutoCorrAbs  AvgSeg  MaxSeg
Force_DEMA_15s    IS   47260210  0.0642  0.054   0.555    0.47     0.868     0.682        65.68   17759
