MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ---- ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_Intensity 30m     VolLow  270686 -0.0015   -0.0051     0.502   0.005
Hawkes_Intensity 30m     VolMed  270685 0.0024    0.0059      0.507   0.012
Hawkes_Intensity 30m     VolHigh 270684 0.0253    0.0110      0.497   -0.005
Hawkes_Intensity 1h      VolLow  270686 -0.0047   -0.0024     0.508   0.018
Hawkes_Intensity 1h      VolMed  270685 0.0033    0.0057      0.507   0.013
Hawkes_Intensity 1h      VolHigh 270684 0.0315    0.0139      0.497   -0.008

Hawkes_OFI 15m VolLow  270687 -0.0122 -0.0112 0.497 -0.006
Hawkes_OFI 15m VolMed  270684 -0.0307 -0.0318 0.489 -0.023
Hawkes_OFI 15m VolHigh 270684 -0.0255 -0.0164 0.488 -0.003
Hawkes_OFI 30m VolLow  270686 -0.0072 -0.0077 0.498 -0.006
Hawkes_OFI 30m VolMed  270685 -0.0235 -0.0275 0.490 -0.020
Hawkes_OFI 30m VolHigh 270684 -0.0492 -0.0239 0.485 -0.009
Hawkes_OFI 1h  VolLow  270686 -0.0141 -0.0093 0.497 -0.008
Hawkes_OFI 1h  VolMed  270685 -0.0267 -0.0291 0.488 -0.024
Hawkes_OFI 1h  VolHigh 270684 -0.0423 -0.0225 0.487 -0.010

Sig_LevyArea 15m VolLow  270687 0.0047 0.0035  0.501 0.005
Sig_LevyArea 15m VolMed  270684 0.0120 0.0111  0.506 0.011
Sig_LevyArea 15m VolHigh 270684 0.0329 0.0044  0.497 -0.004
Sig_LevyArea 30m VolLow  270686 0.0029 -0.0025 0.502 0.005
Sig_LevyArea 30m VolMed  270685 0.0124 0.0143  0.507 0.013
Sig_LevyArea 30m VolHigh 270684 0.0452 0.0077  0.497 -0.005
Sig_LevyArea 1h  VolLow  270686 0.0007 -0.0026 0.509 0.018
Sig_LevyArea 1h  VolMed  270685 0.0101 0.0083  0.507 0.013
Sig_LevyArea 1h  VolHigh 270684 0.0408 0.0084  0.498 -0.008

Hilbert_Phase 15m VolLow  270687 -0.0174 -0.0172 0.492 -0.020
Hilbert_Phase 15m VolMed  270684 -0.0397 -0.0356 0.477 -0.046
Hilbert_Phase 15m VolHigh 270684 0.0045  -0.0014 0.489 0.008
Hilbert_Phase 30m VolLow  270686 -0.0166 -0.0159 0.491 -0.019
Hilbert_Phase 30m VolMed  270685 -0.0370 -0.0347 0.479 -0.044
Hilbert_Phase 30m VolHigh 270684 -0.0005 -0.0041 0.488 0.001
Hilbert_Phase 1h  VolLow  270686 -0.0120 -0.0120 0.493 -0.016
Hilbert_Phase 1h  VolMed  270685 -0.0352 -0.0319 0.481 -0.039
Hilbert_Phase 1h  VolHigh 270684 -0.0010 -0.0027 0.490 0.001



# Time-of-day regime OOS metrics (test segment only)
MODEL            HORIZON REGIME    Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------    -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     TOD_Early 281970 0.0119    0.0007      0.500   0.004
Hawkes_Intensity 15m     TOD_Mid   282720 0.0276    0.0050      0.495   -0.007
Hawkes_Intensity 15m     TOD_Late  247365 0.0195    0.0045      0.510   0.002
Hawkes_Intensity 30m     TOD_Early 281970 0.0146    0.0018      0.501   0.005
Hawkes_Intensity 30m     TOD_Mid   282720 0.0238    0.0074      0.493   -0.010
Hawkes_Intensity 30m     TOD_Late  247365 0.0230    0.0085      0.513   0.002
Hawkes_Intensity 1h      TOD_Early 281970 0.0200    0.0062      0.506   0.006
Hawkes_Intensity 1h      TOD_Mid   282720 0.0259    0.0116      0.492   -0.015
Hawkes_Intensity 1h      TOD_Late  247365 0.0302    0.0078      0.517   0.004

Hawkes_OFI 15m TOD_Early 281970 -0.0099 -0.0207 0.495 -0.001
Hawkes_OFI 15m TOD_Mid   282720 -0.0061 -0.0348 0.485 -0.012
Hawkes_OFI 15m TOD_Late  247365 -0.0531 -0.0207 0.493 -0.002
Hawkes_OFI 30m TOD_Early 281970 -0.0337 -0.0227 0.495 -0.005
Hawkes_OFI 30m TOD_Mid   282720 -0.0148 -0.0348 0.485 -0.014
Hawkes_OFI 30m TOD_Late  247365 -0.0761 -0.0243 0.493 -0.006
Hawkes_OFI 1h  TOD_Early 281970 -0.0331 -0.0275 0.493 -0.007
Hawkes_OFI 1h  TOD_Mid   282720 -0.0164 -0.0342 0.484 -0.018
Hawkes_OFI 1h  TOD_Late  247365 -0.0620 -0.0154 0.496 -0.003

Sig_LevyArea 15m TOD_Early 281970 0.0166 -0.0021 0.500 0.004
