MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Hawkes_Intensity 30m     VolMed  293184 -0.0017   -0.0002     0.516   0.033
Hawkes_Intensity 30m     VolHigh 293183 0.0144    0.0170      0.508   -0.005
Hawkes_Intensity 1h      VolLow  293184 -0.0019   -0.0072     0.511   0.024
Hawkes_Intensity 1h      VolMed  293184 -0.0002   0.0029      0.523   0.047
Hawkes_Intensity 1h      VolHigh 293183 0.0175    0.0219      0.511   -0.006

Hawkes_OFI 15m VolLow  293184 -0.0084 -0.0062 0.497 -0.008
Hawkes_OFI 15m VolMed  293184 -0.0254 -0.0255 0.489 -0.024
Hawkes_OFI 15m VolHigh 293183 -0.0229 -0.0191 0.488 -0.007
Hawkes_OFI 30m VolLow  293184 -0.0095 -0.0118 0.494 -0.012
Hawkes_OFI 30m VolMed  293184 -0.0335 -0.0389 0.481 -0.040
Hawkes_OFI 30m VolHigh 293183 -0.0310 -0.0213 0.485 -0.010
Hawkes_OFI 1h  VolLow  293184 -0.0044 -0.0033 0.498 -0.003
Hawkes_OFI 1h  VolMed  293184 -0.0251 -0.0260 0.488 -0.026
Hawkes_OFI 1h  VolHigh 293183 -0.0306 -0.0218 0.485 -0.010

Sig_LevyArea 15m VolLow  293184 -0.0014 -0.0045 0.508 0.017
Sig_LevyArea 15m VolMed  293184 -0.0003 0.0036  0.516 0.032
Sig_LevyArea 15m VolHigh 293183 0.0257  0.0089  0.503 -0.006
Sig_LevyArea 30m VolLow  293184 -0.0046 -0.0086 0.509 0.019
Sig_LevyArea 30m VolMed  293184 -0.0016 0.0028  0.516 0.033
Sig_LevyArea 30m VolHigh 293183 0.0353  0.0152  0.508 -0.006
