=== QuantDev Streaming Winning Math Report ===
Generated: 2025-12-04T15:25:34-06:00
BaseDir:  data
OOS Cut:  2024-01-01 (YMD=20240101)

==================================================
SYMBOL: BTCUSDT
==================================================

-- BTCUSDT | Horizon: 0.500s (500 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
Force_DEMA_15s  	IS	48439754	0.0374	14.352	0.032	0.534	0.84	0.871	0.815	92.63	20369	-0.0086	15.2088	0.000002	0.000436	0.000248	0.007703
Force_DEMA_15s  	OOS	22537460	0.1224	29.264	0.102	0.592	2.72	0.942	0.914	116.45	9225	-0.0557	14.6733	-0.000000	0.000230	0.000413	0.004053
Impulse_15s     	IS	48439754	0.0260	8.818	0.023	0.525	0.59	0.864	0.813	138.41	22444	0.0041	12.1704	0.000002	0.000436	0.000138	0.006061
Impulse_15s     	OOS	22537460	0.0987	24.555	0.081	0.574	2.20	0.940	0.914	176.69	12101	-0.0864	10.9292	-0.000000	0.000230	0.000248	0.003053
OFI_Cubic_15s   	IS	48439754	0.0149	5.701	0.012	0.517	11.85	0.997	0.998	340.74	29050	0.0006	2.7652	0.000002	0.000436	0.000018	0.001557
OFI_Cubic_15s   	OOS	22537460	0.0577	20.169	0.045	0.551	34.59	0.998	0.999	432.69	15223	-0.0167	2.3503	-0.000000	0.000230	0.000031	0.000693
OFI_DEMA_15s    	IS	48439754	0.0353	14.125	0.037	0.534	8.16	0.987	0.986	92.63	20369	0.0011	0.3948	0.000002	0.000436	0.000006	0.000166
OFI_DEMA_15s    	OOS	22537460	0.0930	26.388	0.078	0.592	18.06	0.995	0.994	116.45	9225	-0.0038	0.2913	-0.000000	0.000230	0.000006	0.000080
OFI_DEMA_5s     	IS	48439754	0.0496	24.665	0.053	0.548	6.95	0.976	0.975	42.68	9378	0.0015	0.6795	0.000002	0.000436	0.000015	0.000275
OFI_DEMA_5s     	OOS	22537460	0.1127	33.186	0.090	0.623	14.87	0.991	0.991	52.21	7841	-0.0061	0.6057	-0.000000	0.000230	0.000016	0.000175
OFI_EMA_15s     	IS	48439754	0.0265	8.454	0.028	0.525	8.07	0.990	0.989	138.41	22444	0.0010	0.2607	0.000002	0.000436	0.000003	0.000107
OFI_EMA_15s     	OOS	22537460	0.0812	22.670	0.070	0.574	19.51	0.996	0.996	176.69	12101	-0.0027	0.1761	-0.000000	0.000230	0.000003	0.000047
OFI_RSI_15s     	IS	48439754	0.0238	10.846	0.028	0.525	5.52	0.994	0.990	138.41	22444	0.0006	0.4112	0.000002	0.000436	0.000004	0.000151
OFI_RSI_15s     	OOS	22537460	0.1032	27.709	0.114	0.574	17.03	0.996	0.992	176.69	12101	-0.0050	0.4577	-0.000000	0.000230	0.000011	0.000095
OFI_Raw         	IS	48439754	0.0378	60.031	0.025	0.541	0.40	0.109	0.093	3.11	1103	-0.0011	1.2637	0.000002	0.000436	0.000021	0.000822
OFI_Raw         	OOS	22537460	0.0566	64.680	0.039	0.627	0.40	0.065	0.060	3.94	1967	-0.0009	0.7498	-0.000000	0.000230	0.000010	0.000248
OFI_TEMA_15s    	IS	48439754	0.0407	17.701	0.042	0.539	7.95	0.984	0.983	71.34	15912	0.0012	0.4947	0.000002	0.000436	0.000009	0.000210
OFI_TEMA_15s    	OOS	22537460	0.0995	28.561	0.082	0.603	16.98	0.994	0.993	89.21	8509	-0.0045	0.3888	-0.000000	0.000230	0.000009	0.000109
Sniper_Composite	IS	48439754	0.0199	8.035	0.016	0.517	10.80	0.996	0.996	320.43	29050	0.0009	1.5400	0.000002	0.000436	0.000013	0.000845
Sniper_Composite	OOS	22537460	0.0652	22.300	0.052	0.551	29.62	0.998	0.998	420.90	15223	-0.0114	1.3343	-0.000000	0.000230	0.000020	0.000389
TCI_DEMA_15s    	IS	48439754	0.0248	8.354	0.037	0.519	2.13	0.990	0.981	52.41	19093	0.0067	0.3273	0.000002	0.000436	0.000004	0.000097
TCI_DEMA_15s    	OOS	22537460	0.0576	16.210	0.066	0.545	3.14	0.995	0.987	62.85	21454	-0.0095	0.3374	-0.000000	0.000230	0.000004	0.000068
TCI_EMA_15s     	IS	48439754	0.0158	1.997	0.024	0.515	2.06	0.995	0.990	78.93	20009	0.0070	0.2592	0.000002	0.000436	0.000002	0.000075
TCI_EMA_15s     	OOS	22537460	0.0380	9.540	0.045	0.533	3.23	0.998	0.995	98.00	28066	-0.0093	0.2700	-0.000000	0.000230	0.000002	0.000052
TCI_Raw         	IS	48439754	0.0687	55.215	0.069	0.541	0.47	0.357	0.000	3.11	1103	-0.0019	1.0000	0.000002	0.000436	0.000030	0.000435
TCI_Raw         	OOS	22537460	0.2110	74.212	0.216	0.627	0.96	0.492	0.000	3.94	1967	-0.0093	1.0000	-0.000000	0.000230	0.000049	0.000225
Vel_Inst        	IS	48439754	0.0523	46.871	0.037	0.541	0.36	0.381	0.286	3.11	1103	-0.0747	17.7849	0.000002	0.000436	0.000405	0.011010
Vel_Inst        	OOS	22537460	0.1101	52.689	0.075	0.627	0.48	0.290	0.239	3.94	1967	-0.0450	11.5836	-0.000000	0.000230	0.000294	0.003897

-- BTCUSDT | Horizon: 10.000s (10000 ms) --
FEATURE	SET	COUNT	IC	IC_T	Sharpe	HitRate	B/E_Bps	AutoCorr	AutoCorrAbs	AvgSeg	MaxSeg	MeanSig	StdSig	MeanRet	StdRet	MeanPnL	StdPnL
Force_DEMA_15s  	IS	48439754	0.0197	7.236	0.017	0.523	0.60	0.871	0.815	92.63	20369	-0.0086	15.2088	0.000004	0.000591	0.000177	0.010230
Force_DEMA_15s  	OOS	22537460	0.0946	22.824	0.084	0.571	2.67	0.942	0.914	116.45	9225	-0.0557	14.6733	-0.000001	0.000292	0.000406	0.004860
Impulse_15s     	IS	48439754	0.0103	1.986	0.009	0.515	0.32	0.864	0.813	138.41	22444	0.0041	12.1704	0.000004	0.000591	0.000074	0.007964
Impulse_15s     	OOS	22537460	0.0739	18.391	0.064	0.556	2.10	0.940	0.914	176.69	12101	-0.0864	10.9292	-0.000001	0.000292	0.000236	0.003671
OFI_Cubic_15s   	IS	48439754	0.0052	0.190	0.004	0.510	5.59	0.997	0.998	340.74	29050	0.0006	2.7652	0.000004	0.000591	0.000008	0.002158
OFI_Cubic_15s   	OOS	22537460	0.0459	14.924	0.037	0.539	34.94	0.998	0.999	432.69	15223	-0.0167	2.3503	-0.000001	0.000292	0.000032	0.000856
OFI_DEMA_15s    	IS	48439754	0.0232	7.395	0.027	0.523	7.29	0.987	0.986	92.63	20369	0.0011	0.3948	0.000004	0.000591	0.000005	0.000199
OFI_DEMA_15s    	OOS	22537460	0.0735	19.669	0.066	0.571	18.13	0.995	0.994	116.45	9225	-0.0038	0.2913	-0.000001	0.000292	0.000006	0.000095
OFI_DEMA_5s     	IS	48439754	0.0360	17.545	0.042	0.534	6.83	0.976	0.975	42.68	9378	0.0015	0.6795	0.000004	0.000591	0.000014	0.000344
OFI_DEMA_5s     	OOS	22537460	0.0901	26.923	0.078	0.594	15.11	0.991	0.991	52.21	7841	-0.0061	0.6057	-0.000001	0.000292	0.000016	0.000205
OFI_EMA_15s     	IS	48439754	0.0154	2.009	0.018	0.515	6.37	0.990	0.989	138.41	22444	0.0010	0.2607	0.000004	0.000591	0.000002	0.000130
OFI_EMA_15s     	OOS	22537460	0.0628	15.843	0.057	0.556	19.18	0.996	0.996	176.69	12101	-0.0027	0.1761	-0.000001	0.000292	0.000003	0.000056
OFI_RSI_15s     	IS	48439754	0.0105	3.456	0.013	0.515	3.30	0.994	0.990	138.41	22444	0.0006	0.4112	0.000004	0.000591	0.000003	0.000197
OFI_RSI_15s     	OOS	22537460	0.0816	20.453	0.092	0.556	17.13	0.996	0.992	176.69	12101	-0.0050	0.4577	-0.000001	0.000292	0.000011	0.000119
OFI_Raw         	IS	48439754	0.0272	49.046	0.017	0.534	0.39	0.109	0.093	3.11	1103	-0.0011	1.2637	0.000004	0.000591	0.000020	0.001197
OFI_Raw         	OOS	22537460	0.0442	55.472	0.034	0.600	0.40	0.065	0.060	3.94	1967	-0.0009	0.7498	-0.000001	0.000292	0.000010	0.000285
OFI_TEMA_15s    	IS	48439754	0.0281	10.809	0.033	0.527	7.46	0.984	0.983	71.34	15912	0.0012	0.4947	0.000004	0.000591	0.000008	0.000251
OFI_TEMA_15s    	OOS	22537460	0.0789	21.875	0.070	0.579	17.11	0.994	0.993	89.21	8509	-0.0045	0.3888	-0.000001	0.000292	0.000009	0.000128
Sniper_Composite	IS	48439754	0.0092	2.065	0.007	0.510	6.76	0.996	0.996	320.43	29050	0.0009	1.5400	0.000004	0.000591	0.000008	0.001151
Sniper_Composite	OOS	22537460	0.0522	16.812	0.043	0.539	30.13	0.998	0.998	420.90	15223	-0.0114	1.3343	-0.000001	0.000292	0.000020	0.000475
