MODEL            HORIZON TrainN TestN PearsonIC SpearmanIC  HitRate HitZ Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------ ----- --------- ----------- ------- ---- ------ ----------- -------------- --------------- -------- ---   --------
Hilbert_Phase 1h  VolHigh 10822 -0.0095 -0.0140 0.483 -0.009



# Time-of-day regime OOS metrics (test segment only)
MODEL            HORIZON REGIME    Count PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------    ----- --------- ----------- ------- ------
Hawkes_Intensity 15m     TOD_Early 11017 0.0212    0.0137      0.492   -0.008
Hawkes_Intensity 15m     TOD_Mid   11370 0.0160    -0.0022     0.488   -0.043
Hawkes_Intensity 15m     TOD_Late  10080 0.0224    0.0013      0.527   0.028
Hawkes_Intensity 30m     TOD_Early 11017 0.0223    0.0250      0.489   -0.009
Hawkes_Intensity 30m     TOD_Mid   11370 -0.0034   -0.0006     0.491   -0.061
Hawkes_Intensity 30m     TOD_Late  10080 0.0068    0.0197      0.540   0.049
Hawkes_Intensity 1h      TOD_Early 11017 0.0304    0.0415      0.481   -0.013
Hawkes_Intensity 1h      TOD_Mid   11370 -0.0146   0.0034      0.491   -0.097
Hawkes_Intensity 1h      TOD_Late  10080 0.0156    0.0861      0.572   0.082

Hawkes_OFI 15m TOD_Early 11017 -0.0300 0.0002  0.493 -0.000
Hawkes_OFI 15m TOD_Mid   11370 -0.0017 -0.0085 0.489 -0.025
Hawkes_OFI 15m TOD_Late  10080 0.0216  0.0016  0.512 0.027
Hawkes_OFI 30m TOD_Early 11017 -0.0753 -0.0222 0.478 -0.027
Hawkes_OFI 30m TOD_Mid   11370 0.0067  0.0023  0.498 -0.030
Hawkes_OFI 30m TOD_Late  10080 0.0419  0.0125  0.520 0.026
Hawkes_OFI 1h  TOD_Early 11017 -0.0759 -0.0516 0.473 -0.043
Hawkes_OFI 1h  TOD_Mid   11370 0.0103  -0.0108 0.487 -0.060
Hawkes_OFI 1h  TOD_Late  10080 0.0501  0.0156  0.549 0.041

Sig_LevyArea 15m TOD_Early 11017 -0.0015 0.0029  0.492 -0.008
Sig_LevyArea 15m TOD_Mid   11370 0.0192  -0.0085 0.488 -0.042
Sig_LevyArea 15m TOD_Late  10080 -0.0234 0.0486  0.529 0.036
Sig_LevyArea 30m TOD_Early 11017 0.0195  0.0250  0.489 -0.009
Sig_LevyArea 30m TOD_Mid   11370 0.0019  -0.0158 0.491 -0.060
Sig_LevyArea 30m TOD_Late  10080 -0.0386 0.0709  0.543 0.053
Sig_LevyArea 1h  TOD_Early 11017 0.0176  0.0363  0.481 -0.013
Sig_LevyArea 1h  TOD_Mid   11370 -0.0217 -0.0063 0.491 -0.097
Sig_LevyArea 1h  TOD_Late  10080 0.0009  0.1651  0.573 0.082

Hilbert_Phase 15m TOD_Early 11017 0.0284  0.0148  0.505 0.030
Hilbert_Phase 15m TOD_Mid   11370 -0.0203 -0.0420 0.479 -0.011
Hilbert_Phase 15m TOD_Late  10080 -0.0022 -0.0218 0.483 -0.008
Hilbert_Phase 30m TOD_Early 11017 -0.0110 -0.0019 0.496 -0.013
Hilbert_Phase 30m TOD_Mid   11370 0.0006  -0.0162 0.497 0.006
Hilbert_Phase 30m TOD_Late  10080 -0.0033 -0.0220 0.483 -0.004
Hilbert_Phase 1h  TOD_Early 11017 -0.0338 -0.0431 0.477 -0.038
Hilbert_Phase 1h  TOD_Mid   11370 -0.0048 -0.0251 0.479 0.001
Hilbert_Phase 1h  TOD_Late  10080 -0.0038 -0.0299 0.498 -0.006

