MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
# Volatility regime OOS metrics (test segment only)
MODEL            HORIZON REGIME  Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------  -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     VolLow  298804 -0.0009   0.0009      0.502   0.005
Hawkes_Intensity 15m     VolMed  298803 -0.0003   -0.0003     0.511   0.023
Hawkes_Intensity 15m     VolHigh 298802 0.0108    0.0044      0.503   -0.006
Hawkes_Intensity 30m     VolLow  298804 0.0005    0.0001      0.505   0.012
Hawkes_Intensity 30m     VolMed  298803 -0.0003   -0.0023     0.516   0.031
Hawkes_Intensity 30m     VolHigh 298802 0.0156    0.0088      0.503   -0.009
Hawkes_Intensity 1h      VolLow  298804 0.0001    -0.0048     0.511   0.025
Hawkes_Intensity 1h      VolMed  298803 0.0014    0.0041      0.518   0.036
Hawkes_Intensity 1h      VolHigh 298802 0.0189    0.0095      0.505   -0.011

Hawkes_OFI 15m VolLow  298804 -0.0178 -0.0240 0.492 -0.020
Hawkes_OFI 15m VolMed  298803 -0.0505 -0.0574 0.475 -0.050
Hawkes_OFI 15m VolHigh 298802 0.0064  -0.0091 0.483 0.002
Hawkes_OFI 30m VolLow  298804 -0.0163 -0.0176 0.493 -0.014
Hawkes_OFI 30m VolMed  298803 -0.0449 -0.0497 0.478 -0.045
Hawkes_OFI 30m VolHigh 298802 0.0035  -0.0138 0.481 -0.003
Hawkes_OFI 1h  VolLow  298804 -0.0166 -0.0209 0.491 -0.020
Hawkes_OFI 1h  VolMed  298803 -0.0426 -0.0418 0.482 -0.037
Hawkes_OFI 1h  VolHigh 298802 -0.0026 -0.0118 0.488 -0.002

Sig_LevyArea 15m VolLow  298804 0.0064 0.0095 0.502 0.005
Sig_LevyArea 15m VolMed  298803 0.0102 0.0120 0.511 0.023
Sig_LevyArea 15m VolHigh 298802 0.0145 0.0048 0.503 -0.006
Sig_LevyArea 30m VolLow  298804 0.0074 0.0075 0.505 0.012
Sig_LevyArea 30m VolMed  298803 0.0113 0.0153 0.516 0.031
