MODEL            HORIZON TrainN  TestN  PearsonIC SpearmanIC  HitRate HitZ  Sharpe Spread(bps) TopDecile(bps) BotDecile(bps)  MI(bits) NMI   ΔLogLoss
-----            ------- ------  -----  --------- ----------- ------- ----  ------ ----------- -------------- --------------- -------- ---   --------
Hilbert_Phase 30m VolHigh 298043 -0.0042 -0.0149 0.483 -0.003
Hilbert_Phase 1h  VolLow  298046 -0.0105 -0.0106 0.493 -0.015
Hilbert_Phase 1h  VolMed  298043 -0.0265 -0.0245 0.485 -0.031
Hilbert_Phase 1h  VolHigh 298043 -0.0073 -0.0134 0.486 -0.005



# Time-of-day regime OOS metrics (test segment only)
MODEL            HORIZON REGIME    Count  PearsonIC SpearmanIC  HitRate Sharpe
-----            ------- ------    -----  --------- ----------- ------- ------
Hawkes_Intensity 15m     TOD_Early 310373 0.0113    0.0004      0.507   0.002
Hawkes_Intensity 15m     TOD_Mid   311194 0.0348    0.0062      0.498   0.011
Hawkes_Intensity 15m     TOD_Late  272565 0.0324    0.0191      0.508   0.003
Hawkes_Intensity 30m     TOD_Early 310373 0.0149    0.0012      0.510   0.004
Hawkes_Intensity 30m     TOD_Mid   311194 0.0347    0.0126      0.499   0.014
Hawkes_Intensity 30m     TOD_Late  272565 0.0410    0.0269      0.508   0.003
Hawkes_Intensity 1h      TOD_Early 310373 0.0214    0.0030      0.517   0.014
Hawkes_Intensity 1h      TOD_Mid   311194 0.0543    0.0214      0.498   0.018
Hawkes_Intensity 1h      TOD_Late  272565 0.0474    0.0305      0.506   0.002

Hawkes_OFI 15m TOD_Early 310373 -0.0132 -0.0214 0.495 -0.013
Hawkes_OFI 15m TOD_Mid   311194 -0.0049 -0.0285 0.490 -0.012
Hawkes_OFI 15m TOD_Late  272565 -0.0457 -0.0202 0.497 -0.001
Hawkes_OFI 30m TOD_Early 310373 -0.0396 -0.0234 0.494 -0.017
Hawkes_OFI 30m TOD_Mid   311194 -0.0202 -0.0250 0.493 -0.012
Hawkes_OFI 30m TOD_Late  272565 -0.0647 -0.0225 0.497 -0.002
Hawkes_OFI 1h  TOD_Early 310373 -0.0682 -0.0319 0.489 -0.025
Hawkes_OFI 1h  TOD_Mid   311194 -0.0081 -0.0196 0.492 -0.014
Hawkes_OFI 1h  TOD_Late  272565 -0.0604 -0.0167 0.500 -0.005

Sig_LevyArea 15m TOD_Early 310373 0.0196 -0.0023 0.507 0.001
Sig_LevyArea 15m TOD_Mid   311194 0.0273 0.0157  0.498 0.011
